"","INSTNM","POOR_Prop"
"543","Vanguard University of Southern California",0.269794721407625
"544","Concorde Career College-Garden Grove",0.97887323943662
"545","Southwestern College",1
"546","Starr King School for Ministry",NA
"547","Marshall B Ketchum University",NA
"548","Southern California Institute of Architecture",0.277777777777778
"549","University of Southern California",0.245791245791246
"550","Southwestern Law School",NA
"551","Taft College",1
"552","Claremont School of Theology",NA
"553","Thomas Aquinas College",0.129032258064516
"554","Marinello Schools of Beauty-Lake Forest",0.712676056338028
"555","Epic Bible College",0.833333333333333
"556","United Education Institute-Huntington Park Campus",0.554445554445554
"557","Concorde Career College-San Bernardino",0.950980392156863
"558","Universal College of Beauty Inc-Los Angeles 1",0.9
"559","Concorde Career College-North Hollywood",0.966386554621849
"560","Ventura College",1
"561","Victor Valley Beauty College Inc",0.704545454545455
"562","Victor Valley College",1
"563","Berkeley City College",1
"564","Walden University",NA
"565","Waynes College of Beauty",0.666666666666667
"566","West Hills College-Coalinga",0.992857142857143
"567","West Los Angeles College",1
"568","West Valley College",1
"569","Carrington College California-Sacramento",0.753846153846154
"570","Westminster Theological Seminary in California",NA
"571","Westmont College",0.129353233830846
"572","Whittier College",0.26797385620915
"573","Woodbury University",0.438461538461538
"574","The Wright Institute",NA
"575","Western State College of Law at Argosy University",NA
"576","Thomas Jefferson School of Law",NA
"577","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",0.269230769230769
"578","Yuba College",1
"579","The Salon Professional Academy-Grand Junction",0.613636363636364
"580","Adams State University",0.357771260997067
"581","Aims Community College",0.559139784946237
"582","Arapahoe Community College",0.425454545454545
"583","Bel-Rea Institute of Animal Technology",0.548387096774194
"584","Everest College-Colorado Springs",0.787878787878788
"585","University of Colorado Denver",0.356136820925553
"586","University of Colorado Colorado Springs",0.257225433526012
"587","Redstone College",0.354838709677419
"588","University of Colorado Boulder",0.222222222222222
"589","Colorado Christian University",0.22
"590","Colorado College",0.121827411167513
"591","Concorde Career College-Aurora",0.941176470588235
"592","The Art Institute of Colorado",0.443661971830986
"593","Colorado Mountain College",0.392857142857143
"594","Colorado Northwestern Community College",0.356164383561644
"595","Colorado School of Mines",0.144927536231884
"596","Colorado School of Trades",1
"597","Colorado State University-Fort Collins",0.216115261472785
"598","Colorado Technical University-Colorado Springs",0.678571428571429
"599","Empire Beauty School-Lakewood",0.758620689655172
"600","Community College of Aurora",0.715083798882682
